iter	RMSE
0	54.44681121
1	50.70988154
2	47.4070786
3	44.70376282
4	42.29247523
5	40.26056446
6	38.33433907
7	36.54483311
8	35.03342185
9	33.57155131
10	32.29468954
11	31.18242985
12	30.19437502
13	29.27597323
14	28.43444172
15	27.76187397
16	27.09664066
17	26.59058387
18	26.11169218
19	25.58958359
20	25.10415499
21	24.76735463
22	24.49469511
23	24.17955661
24	23.93232176
25	23.64225153
26	23.41281452
27	23.19131896
28	22.9256868
29	22.66189027
30	22.51096738
31	22.36395727
32	22.14805994
33	22.03925083
34	21.90169778
35	21.79327612
36	21.6681268
37	21.56123491
38	21.43888639
39	21.32444734
40	21.25965036
41	21.13535312
42	21.06047545
43	21.00287835
44	20.90925866
45	20.8460381
46	20.73965011
47	20.65733685
48	20.58453522
49	20.52167777
50	20.41815263
51	20.3736761
52	20.31447266
53	20.23583409
54	20.18477847
55	20.08763691
56	20.01538415
57	19.91073067
58	19.84604282
59	19.74915461
60	19.688001
61	19.65653436
62	19.57169638
63	19.49406699
64	19.45566543
65	19.34165311
66	19.28427736
67	19.19807575
68	19.13219063
69	19.04930495
70	19.0057892
71	18.96599483
72	18.87150492
73	18.82513238
74	18.77817144
75	18.75078045
76	18.69595334
77	18.60937927
78	18.53056729
79	18.48510399
80	18.42934358
81	18.37437511
82	18.34565754
83	18.28758829
84	18.20848265
85	18.16713052
86	18.13586197
87	18.0950036
88	18.05342247
89	18.02105882
90	17.98041541
91	17.9046864
92	17.83641523
93	17.80714992
94	17.7684806
95	17.73227357
96	17.70716178
97	17.69195938
98	17.63574749
99	17.59662407
100	17.55044155
101	17.49392346
102	17.45735348
103	17.41959458
104	17.38706052
105	17.34473135
106	17.32285888
107	17.2548046
108	17.22692517
109	17.18563544
110	17.09784197
111	17.06970323
112	17.03490445
113	17.01463394
114	16.98838571
115	16.96785059
116	16.91811674
117	16.86704501
118	16.82655272
119	16.79937283
120	16.76099954
121	16.73191039
122	16.70437074
123	16.66586756
124	16.64118027
125	16.60085616
126	16.5833455
127	16.53193842
128	16.47465356
129	16.43073546
130	16.39696257
131	16.37303683
132	16.36259168
133	16.33201171
134	16.30495135
135	16.27978239
136	16.24000362
137	16.21936117
138	16.19313737
139	16.17227609
140	16.13308872
141	16.09860487
142	16.05908791
143	16.0302898
144	15.98554673
145	15.98027237
146	15.93733745
147	15.92819799
148	15.91252948
149	15.89020509
150	15.88835181
151	15.8557167
152	15.84765532
153	15.84461721
154	15.84029585
155	15.82049189
156	15.80608319
157	15.78250313
158	15.78053431
159	15.77456395
160	15.75532486
161	15.72921811
162	15.67210413
163	15.62629264
164	15.61238316
165	15.59019058
166	15.58005492
167	15.55794435
168	15.53731948
169	15.53222022
170	15.4992316
171	15.48426951
172	15.46477319
173	15.43969548
174	15.42079352
175	15.40726838
176	15.36696593
177	15.36494921
178	15.35730812
179	15.3402007
180	15.33497131
181	15.30118991
182	15.29634241
183	15.28009811
184	15.24799948
185	15.23562255
186	15.22047906
187	15.21265938
188	15.21084682
189	15.20783135
190	15.20442335
191	15.17028105
192	15.15041648
193	15.13237548
194	15.11158731
195	15.08510645
196	15.07239233
197	15.07201979
198	15.05575469
199	15.04055788
200	15.01851095
201	15.00937
202	14.98565757
203	14.95378349
204	14.94975598
205	14.93778856
206	14.92571194
207	14.92266556
208	14.91164413
209	14.89333652
210	14.87663697
211	14.84830264
212	14.84162333
213	14.82414436
214	14.81900213
215	14.81369508
216	14.78944513
217	14.78272759
218	14.76080529
219	14.73697401
220	14.71750612
221	14.71072755
222	14.70970087
223	14.69387704
224	14.67972096
225	14.66307135
226	14.65080573
227	14.63660721
228	14.62871302
229	14.61936274
230	14.61168104
231	14.60201776
232	14.59436316
233	14.58532566
234	14.56931145
235	14.54700379
236	14.54373635
237	14.52329673
238	14.51364609
239	14.50874925
240	14.50594923
241	14.48808056
242	14.48189309
243	14.47085854
244	14.45690714
245	14.44811107
246	14.44441253
247	14.42471862
248	14.41048711
249	14.39971407
250	14.39379265
251	14.38527598
252	14.36891495
253	14.36421371
254	14.35349971
255	14.3229548
256	14.30901379
257	14.29744571
258	14.28704407
259	14.27435364
260	14.26652675
261	14.25231582
262	14.24010706
263	14.22419938
264	14.21094996
265	14.20290738
266	14.18881636
267	14.17065587
268	14.15431162
269	14.13822451
270	14.13014559
271	14.11751773
272	14.11024726
273	14.10149475
274	14.08404354
275	14.06487117
276	14.06357112
277	14.0433525
278	14.03097431
279	14.02326257
280	14.01779899
281	14.0131312
282	14.00314166
283	13.99473311
284	13.9857673
285	13.96500172
286	13.95408519
287	13.94394992
288	13.94042187
289	13.93857138
290	13.93493147
291	13.9309334
292	13.92501004
293	13.91576295
294	13.90314133
295	13.89832702
296	13.8855597
297	13.87062612
298	13.85225678
299	13.84723681
300	13.84044724
301	13.83038949
302	13.81524126
303	13.80637809
304	13.80246647
305	13.79341898
306	13.78562599
307	13.76295933
308	13.75831341
309	13.75017619
310	13.73910595
311	13.71958052
312	13.69842329
313	13.68258889
314	13.67801448
315	13.67118015
316	13.6647942
317	13.6479544
318	13.63964895
319	13.63572485
320	13.62856433
321	13.60898571
322	13.60087166
323	13.59169654
324	13.57559905
325	13.57222741
326	13.56083788
327	13.55563609
328	13.54851178
329	13.54449355
330	13.53206123
331	13.52545095
332	13.51943764
333	13.50824355
334	13.49007349
335	13.47479724
336	13.47133334
337	13.46288917
338	13.45402507
339	13.44209095
340	13.4396109
341	13.4381894
342	13.42962613
343	13.4227444
344	13.41286881
345	13.39931741
346	13.38463656
347	13.38089705
348	13.37840615
349	13.3729562
350	13.36276767
351	13.34692111
352	13.34170477
353	13.33714553
354	13.32595369
355	13.31773209
356	13.31088152
357	13.30563642
358	13.29954858
359	13.29101153
360	13.28798029
361	13.28618042
362	13.28460937
363	13.2824346
364	13.269207
365	13.26089964
366	13.25808989
367	13.25264641
368	13.24890998
369	13.23242785
370	13.21745759
371	13.20879617
372	13.20174071
373	13.19428211
374	13.18992607
375	13.18683804
376	13.18134367
377	13.16528947
378	13.16057291
379	13.15537631
380	13.15304627
381	13.15049372
382	13.13907186
383	13.13696055
384	13.1229381
385	13.11640359
386	13.11267048
387	13.10824202
388	13.10042809
389	13.09265024
390	13.0820952
391	13.07452805
392	13.0728248
393	13.06964305
394	13.06543262
395	13.06155227
396	13.05888292
397	13.0543757
398	13.05209277
399	13.04649661
400	13.04313366
401	13.03830572
402	13.03269134
403	13.02254202
404	13.01453785
405	13.0100141
406	13.00250322
407	12.99959652
408	12.99395338
409	12.98932681
410	12.98675983
411	12.98430654
412	12.98129615
413	12.97080934
414	12.95777448
415	12.94997452
416	12.9391196
417	12.93489385
418	12.92810457
419	12.92436936
420	12.91741673
421	12.91146374
422	12.89865693
423	12.89477547
424	12.89085315
425	12.88645985
426	12.88113333
427	12.87566479
428	12.86833652
429	12.85301651
430	12.8502039
431	12.84892406
432	12.83771221
433	12.83475673
434	12.82883151
435	12.82570681
436	12.82244693
