iter	Passed	Remaining
0	63	63882
1	104	52386
2	140	46687
3	170	42447
4	203	40567
5	233	38602
6	260	36935
7	287	35694
8	316	34895
9	344	34060
10	375	33773
11	403	33185
12	431	32779
13	456	32177
14	484	31818
15	510	31385
16	539	31187
17	568	31027
18	594	30694
19	622	30506
20	651	30371
21	681	30298
22	722	30694
23	745	30336
24	773	30164
25	795	29816
26	823	29683
27	856	29735
28	898	30091
29	935	30250
30	977	30546
31	1016	30760
32	1058	31006
33	1096	31144
34	1152	31770
35	1195	32023
36	1242	32339
37	1280	32417
38	1328	32735
39	1386	33277
40	1434	33545
41	1466	33446
42	1494	33260
43	1522	33084
44	1551	32922
45	1579	32764
46	1610	32652
47	1639	32509
48	1663	32294
49	1693	32176
50	1721	32033
51	1749	31902
52	1776	31750
53	1804	31617
54	1833	31505
55	1864	31425
56	1891	31292
57	1918	31154
58	1948	31075
59	1976	30965
60	2005	30864
61	2033	30762
62	2063	30684
63	2092	30600
64	2120	30500
65	2150	30433
66	2179	30343
67	2208	30268
68	2239	30215
69	2268	30136
70	2297	30061
71	2325	29969
72	2364	30030
73	2393	29956
74	2419	29845
75	2448	29765
76	2477	29697
77	2507	29640
78	2536	29573
79	2564	29491
80	2595	29446
81	2624	29380
82	2652	29307
83	2680	29228
84	2711	29183
85	2739	29113
86	2790	29283
87	2818	29213
88	2847	29151
89	2876	29080
90	2909	29059
91	2941	29027
92	2967	28937
93	2996	28882
94	3024	28813
95	3053	28750
96	3078	28662
97	3108	28609
98	3137	28550
99	3167	28509
100	3197	28457
101	3226	28404
102	3255	28353
103	3284	28301
104	3313	28244
105	3341	28186
106	3372	28148
107	3401	28093
108	3430	28040
109	3460	27996
110	3489	27943
111	3518	27895
112	3547	27846
113	3573	27774
114	3601	27716
115	3629	27662
116	3658	27611
117	3687	27559
118	3714	27500
119	3744	27461
120	3775	27427
121	3802	27368
122	3831	27315
123	3861	27280
124	3890	27233
125	3917	27175
126	3946	27126
127	3974	27075
128	4001	27020
129	4029	26969
130	4060	26935
131	4092	26912
132	4121	26869
133	4154	26848
134	4185	26815
135	4216	26786
136	4246	26752
137	4276	26711
138	4306	26675
139	4335	26633
140	4363	26582
141	4394	26554
142	4424	26518
143	4452	26467
144	4483	26435
145	4513	26401
146	4543	26362
147	4568	26301
148	4600	26277
149	4630	26239
150	4657	26187
151	4687	26151
152	4715	26104
153	4745	26070
154	4773	26025
155	4803	25990
156	4832	25946
157	4861	25909
158	4892	25876
159	4922	25842
160	4954	25816
161	4998	25855
162	5030	25831
163	5061	25799
164	5089	25756
165	5118	25713
166	5147	25675
167	5178	25644
168	5207	25606
169	5238	25577
170	5268	25539
171	5296	25494
172	5328	25470
173	5359	25442
174	5388	25401
175	5415	25355
176	5444	25315
177	5486	25335
178	5512	25284
179	5540	25237
180	5569	25200
181	5598	25163
182	5625	25113
183	5652	25068
184	5686	25051
185	5715	25013
186	5749	24995
187	5778	24957
188	5806	24916
189	5835	24878
190	5865	24842
191	5894	24805
192	5922	24764
193	5949	24716
194	5978	24682
195	6007	24641
196	6036	24605
197	6057	24536
198	6088	24506
199	6123	24493
200	6153	24460
201	6183	24427
202	6212	24389
203	6242	24359
204	6273	24327
205	6301	24286
206	6329	24246
207	6356	24204
208	6389	24181
209	6421	24156
210	6455	24139
211	6487	24112
212	6518	24084
213	6545	24041
214	6584	24041
215	6613	24003
216	6640	23959
217	6668	23919
218	6695	23876
219	6733	23873
220	6761	23832
221	6788	23791
222	6818	23758
223	6847	23721
224	6876	23685
225	6905	23649
226	6943	23644
227	6973	23610
228	7000	23570
229	7032	23543
230	7061	23507
231	7088	23465
232	7117	23431
233	7149	23402
234	7178	23367
235	7204	23324
236	7235	23295
237	7264	23259
238	7292	23220
239	7320	23183
240	7350	23148
241	7379	23115
242	7412	23091
243	7455	23099
244	7521	23178
245	7552	23148
246	7579	23107
247	7611	23078
248	7675	23149
249	7708	23126
250	7742	23104
251	7780	23094
252	7813	23070
253	7845	23042
254	7880	23022
255	7912	22995
256	7948	22979
257	7987	22972
258	8019	22943
259	8047	22905
260	8079	22875
261	8112	22851
262	8148	22833
263	8179	22803
264	8211	22775
265	8246	22756
266	8280	22733
267	8312	22703
268	8351	22695
269	8381	22661
270	8413	22633
271	8443	22599
272	8478	22578
273	8508	22544
274	8541	22519
275	8574	22493
276	8607	22467
277	8640	22439
278	8672	22411
279	8703	22381
280	8738	22359
281	8771	22333
282	8820	22348
283	8854	22322
284	8935	22416
285	8973	22403
286	9007	22376
287	9039	22348
288	9073	22323
289	9106	22294
290	9139	22268
291	9173	22242
292	9204	22209
293	9235	22178
294	9269	22152
295	9301	22122
296	9335	22096
297	9383	22105
298	9415	22075
299	9449	22048
300	9479	22014
301	9512	21985
302	9541	21948
303	9570	21911
304	9601	21879
305	9631	21844
306	9663	21812
307	9691	21774
308	9723	21744
309	9753	21708
310	9784	21677
311	9818	21650
312	9850	21620
313	9883	21592
314	9916	21565
315	9947	21531
316	9980	21503
317	10012	21474
318	10048	21451
319	10081	21423
320	10116	21399
321	10146	21365
322	10178	21333
323	10209	21300
324	10237	21262
325	10269	21232
326	10299	21196
327	10332	21169
328	10364	21138
329	10395	21106
330	10445	21112
331	10493	21112
332	10526	21085
333	10565	21066
334	10597	21036
335	10629	21006
336	10660	20972
337	10693	20943
338	10726	20914
339	10758	20884
340	10791	20854
341	10823	20824
342	10858	20798
343	10893	20774
344	10925	20743
345	10960	20716
346	10991	20684
347	11026	20659
348	11060	20630
349	11092	20600
350	11124	20569
351	11156	20538
352	11187	20505
353	11216	20469
354	11244	20429
355	11277	20400
356	11308	20368
357	11340	20336
358	11372	20305
359	11404	20274
360	11436	20244
361	11466	20208
362	11495	20173
363	11525	20137
364	11559	20110
365	11591	20079
366	11621	20045
367	11655	20016
368	11703	20013
369	11738	19986
370	11771	19957
371	11820	19954
372	11850	19921
373	11879	19883
374	11912	19853
375	11941	19818
376	11976	19791
377	12009	19762
378	12039	19726
