MTU,Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),Germany (DE),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
00:00 - 00:15,4339.0,3596.0,n/e,2668.0,2048.0,279.0,n/e,n/e,25.0,764.0,2399.0,1429.0,58.0,n/e,3208.0,333.0,126.0,0.0,850.0,6132.0,25735.0,2022-01-01,DE
00:15 - 00:30,4325.0,3582.0,n/e,2761.0,2041.0,279.0,n/e,n/e,26.0,553.0,2380.0,1429.0,41.0,n/e,3325.0,333.0,126.0,0.0,852.0,6038.0,25653.0,2022-01-01,DE
00:30 - 00:45,4323.0,3526.0,n/e,2756.0,2038.0,279.0,n/e,n/e,26.0,338.0,2598.0,1428.0,30.0,n/e,3344.0,333.0,126.0,0.0,842.0,5961.0,25250.0,2022-01-01,DE
00:45 - 01:00,4341.0,3544.0,n/e,2753.0,2030.0,279.0,n/e,n/e,26.0,230.0,2780.0,1428.0,34.0,n/e,3342.0,333.0,126.0,0.0,827.0,5771.0,25313.0,2022-01-01,DE
01:00 - 01:15,4333.0,3565.0,n/e,2634.0,2053.0,279.0,n/e,n/e,26.0,488.0,2347.0,1424.0,119.0,n/e,3351.0,333.0,126.0,0.0,846.0,5688.0,24850.0,2022-01-01,DE
01:15 - 01:30,4325.0,3521.0,n/e,2628.0,2057.0,279.0,n/e,n/e,26.0,568.0,2755.0,1421.0,121.0,n/e,3350.0,333.0,126.0,0.0,841.0,5795.0,24604.0,2022-01-01,DE
01:30 - 01:45,4319.0,3534.0,n/e,2614.0,2044.0,279.0,n/e,n/e,26.0,524.0,3099.0,1423.0,119.0,n/e,3347.0,333.0,126.0,0.0,835.0,5775.0,24177.0,2022-01-01,DE
01:45 - 02:00,4323.0,3567.0,n/e,2631.0,2045.0,279.0,n/e,n/e,26.0,504.0,3264.0,1423.0,35.0,n/e,3344.0,333.0,126.0,0.0,844.0,5843.0,23491.0,2022-01-01,DE
02:00 - 02:15,4328.0,3523.0,n/e,2640.0,2038.0,279.0,n/e,n/e,26.0,678.0,3098.0,1423.0,103.0,n/e,3347.0,333.0,126.0,0.0,835.0,5699.0,23528.0,2022-01-01,DE
02:15 - 02:30,4322.0,3506.0,n/e,2605.0,2038.0,279.0,n/e,n/e,26.0,518.0,3148.0,1420.0,33.0,n/e,3345.0,333.0,126.0,0.0,836.0,5748.0,23138.0,2022-01-01,DE
02:30 - 02:45,4331.0,3480.0,n/e,2621.0,2029.0,279.0,n/e,n/e,26.0,427.0,3262.0,1422.0,34.0,n/e,3348.0,333.0,126.0,0.0,833.0,5410.0,22947.0,2022-01-01,DE
02:45 - 03:00,4335.0,3471.0,n/e,2628.0,2028.0,279.0,n/e,n/e,27.0,242.0,3307.0,1420.0,31.0,n/e,3337.0,333.0,126.0,0.0,830.0,5335.0,22843.0,2022-01-01,DE
03:00 - 03:15,4334.0,3507.0,n/e,2652.0,2024.0,279.0,n/e,n/e,27.0,205.0,3629.0,1421.0,34.0,n/e,3348.0,333.0,126.0,0.0,822.0,5305.0,22536.0,2022-01-01,DE
03:15 - 03:30,4341.0,3497.0,n/e,2644.0,2025.0,279.0,n/e,n/e,27.0,188.0,3734.0,1421.0,33.0,n/e,3342.0,333.0,126.0,0.0,830.0,5266.0,22260.0,2022-01-01,DE
