Time,Day-ahead Total Load Forecast,Actual Total Load,Date,Country
00:00 - 00:15,42575.0,44646.0,2022-01-01,DE
00:15 - 00:30,42211.0,44235.0,2022-01-01,DE
00:30 - 00:45,41808.0,43727.0,2022-01-01,DE
00:45 - 01:00,41364.0,43054.0,2022-01-01,DE
01:00 - 01:15,40795.0,42196.0,2022-01-01,DE
01:15 - 01:30,40205.0,41804.0,2022-01-01,DE
01:30 - 01:45,39826.0,41141.0,2022-01-01,DE
01:45 - 02:00,39596.0,41002.0,2022-01-01,DE
02:00 - 02:15,39231.0,41178.0,2022-01-01,DE
02:15 - 02:30,39032.0,40635.0,2022-01-01,DE
02:30 - 02:45,38495.0,40162.0,2022-01-01,DE
02:45 - 03:00,38378.0,39948.0,2022-01-01,DE
03:00 - 03:15,38005.0,39670.0,2022-01-01,DE
03:15 - 03:30,37794.0,39560.0,2022-01-01,DE
03:30 - 03:45,37719.0,39547.0,2022-01-01,DE
03:45 - 04:00,37486.0,39479.0,2022-01-01,DE
04:00 - 04:15,37885.0,39449.0,2022-01-01,DE
04:15 - 04:30,37891.0,39279.0,2022-01-01,DE
04:30 - 04:45,37926.0,39485.0,2022-01-01,DE
04:45 - 05:00,37807.0,39140.0,2022-01-01,DE
05:00 - 05:15,37467.0,39112.0,2022-01-01,DE
05:15 - 05:30,37212.0,38926.0,2022-01-01,DE
05:30 - 05:45,36977.0,38800.0,2022-01-01,DE
05:45 - 06:00,36535.0,38468.0,2022-01-01,DE
06:00 - 06:15,35440.0,38358.0,2022-01-01,DE
06:15 - 06:30,35731.0,38389.0,2022-01-01,DE
06:30 - 06:45,35520.0,38397.0,2022-01-01,DE
06:45 - 07:00,35737.0,38508.0,2022-01-01,DE
07:00 - 07:15,35965.0,38981.0,2022-01-01,DE
07:15 - 07:30,36699.0,38929.0,2022-01-01,DE
07:30 - 07:45,37189.0,39126.0,2022-01-01,DE
07:45 - 08:00,37770.0,39311.0,2022-01-01,DE
08:00 - 08:15,38669.0,39990.0,2022-01-01,DE
08:15 - 08:30,39051.0,40277.0,2022-01-01,DE
08:30 - 08:45,39663.0,40339.0,2022-01-01,DE
08:45 - 09:00,40478.0,40614.0,2022-01-01,DE
09:00 - 09:15,41202.0,41770.0,2022-01-01,DE
09:15 - 09:30,41942.0,42324.0,2022-01-01,DE
09:30 - 09:45,42750.0,42836.0,2022-01-01,DE
09:45 - 10:00,43449.0,43114.0,2022-01-01,DE
10:00 - 10:15,43999.0,43584.0,2022-01-01,DE
10:15 - 10:30,44462.0,44139.0,2022-01-01,DE
10:30 - 10:45,44873.0,44617.0,2022-01-01,DE
10:45 - 11:00,45774.0,45190.0,2022-01-01,DE
11:00 - 11:15,46588.0,45883.0,2022-01-01,DE
11:15 - 11:30,47374.0,46612.0,2022-01-01,DE
11:30 - 11:45,48334.0,47216.0,2022-01-01,DE
11:45 - 12:00,48300.0,47218.0,2022-01-01,DE
12:00 - 12:15,48648.0,47289.0,2022-01-01,DE
12:15 - 12:30,48703.0,47340.0,2022-01-01,DE
12:30 - 12:45,48519.0,47728.0,2022-01-01,DE
12:45 - 13:00,48564.0,46902.0,2022-01-01,DE
13:00 - 13:15,47940.0,46558.0,2022-01-01,DE
13:15 - 13:30,47370.0,46249.0,2022-01-01,DE
13:30 - 13:45,47129.0,46381.0,2022-01-01,DE
13:45 - 14:00,46886.0,46379.0,2022-01-01,DE
14:00 - 14:15,46508.0,45913.0,2022-01-01,DE
14:15 - 14:30,46099.0,45688.0,2022-01-01,DE
14:30 - 14:45,45958.0,45656.0,2022-01-01,DE
14:45 - 15:00,45693.0,45660.0,2022-01-01,DE
15:00 - 15:15,45844.0,45729.0,2022-01-01,DE
15:15 - 15:30,45746.0,45527.0,2022-01-01,DE
15:30 - 15:45,45723.0,45567.0,2022-01-01,DE
15:45 - 16:00,46425.0,45829.0,2022-01-01,DE
16:00 - 16:15,46472.0,46544.0,2022-01-01,DE
16:15 - 16:30,47036.0,47201.0,2022-01-01,DE
16:30 - 16:45,48190.0,48257.0,2022-01-01,DE
16:45 - 17:00,49363.0,49454.0,2022-01-01,DE
17:00 - 17:15,50170.0,50659.0,2022-01-01,DE
17:15 - 17:30,50800.0,51160.0,2022-01-01,DE
17:30 - 17:45,51181.0,51788.0,2022-01-01,DE
17:45 - 18:00,51446.0,52013.0,2022-01-01,DE
18:00 - 18:15,51817.0,52298.0,2022-01-01,DE
18:15 - 18:30,52016.0,52480.0,2022-01-01,DE
18:30 - 18:45,52074.0,52274.0,2022-01-01,DE
18:45 - 19:00,51651.0,52099.0,2022-01-01,DE
19:00 - 19:15,51424.0,51841.0,2022-01-01,DE
19:15 - 19:30,50488.0,51573.0,2022-01-01,DE
19:30 - 19:45,50640.0,51233.0,2022-01-01,DE
19:45 - 20:00,49923.0,50638.0,2022-01-01,DE
20:00 - 20:15,49237.0,50276.0,2022-01-01,DE
20:15 - 20:30,48731.0,49695.0,2022-01-01,DE
20:30 - 20:45,48243.0,49159.0,2022-01-01,DE
20:45 - 21:00,47583.0,48734.0,2022-01-01,DE
21:00 - 21:15,47272.0,48453.0,2022-01-01,DE
21:15 - 21:30,47193.0,47943.0,2022-01-01,DE
21:30 - 21:45,47146.0,47936.0,2022-01-01,DE
21:45 - 22:00,46932.0,47705.0,2022-01-01,DE
22:00 - 22:15,47212.0,48051.0,2022-01-01,DE
22:15 - 22:30,46883.0,47752.0,2022-01-01,DE
