Time,Day-ahead Total Load Forecast,Actual Total Load,Date,Country
00:00 - 01:00,15200.0,14979.0,2018-01-01,PL
01:00 - 02:00,14600.0,14398.0,2018-01-01,PL
02:00 - 03:00,14000.0,13789.0,2018-01-01,PL
03:00 - 04:00,13600.0,13434.0,2018-01-01,PL
04:00 - 05:00,13400.0,13285.0,2018-01-01,PL
05:00 - 06:00,13200.0,13193.0,2018-01-01,PL
06:00 - 07:00,13300.0,13237.0,2018-01-01,PL
07:00 - 08:00,13300.0,13214.0,2018-01-01,PL
08:00 - 09:00,13500.0,13025.0,2018-01-01,PL
09:00 - 10:00,14000.0,13706.0,2018-01-01,PL
10:00 - 11:00,14600.0,14330.0,2018-01-01,PL
11:00 - 12:00,15200.0,14824.0,2018-01-01,PL
12:00 - 13:00,15500.0,15319.0,2018-01-01,PL
13:00 - 14:00,15900.0,15834.0,2018-01-01,PL
14:00 - 15:00,15900.0,15945.0,2018-01-01,PL
15:00 - 16:00,16800.0,16059.0,2018-01-01,PL
16:00 - 17:00,17900.0,17307.0,2018-01-01,PL
17:00 - 18:00,18000.0,17699.0,2018-01-01,PL
18:00 - 19:00,18100.0,17697.0,2018-01-01,PL
19:00 - 20:00,18100.0,17836.0,2018-01-01,PL
20:00 - 21:00,17900.0,17464.0,2018-01-01,PL
21:00 - 22:00,17100.0,16551.0,2018-01-01,PL
22:00 - 23:00,16200.0,15860.0,2018-01-01,PL
23:00 - 00:00,15100.0,14856.0,2018-01-01,PL
00:00 - 01:00,13700.0,14040.0,2018-01-02,PL
01:00 - 02:00,13300.0,13541.0,2018-01-02,PL
02:00 - 03:00,13050.0,13407.0,2018-01-02,PL
03:00 - 04:00,13200.0,13468.0,2018-01-02,PL
04:00 - 05:00,14000.0,13797.0,2018-01-02,PL
05:00 - 06:00,15800.0,14760.0,2018-01-02,PL
06:00 - 07:00,19100.0,17559.0,2018-01-02,PL
07:00 - 08:00,20500.0,19505.0,2018-01-02,PL
08:00 - 09:00,21800.0,20485.0,2018-01-02,PL
09:00 - 10:00,22100.0,21277.0,2018-01-02,PL
10:00 - 11:00,22400.0,21515.0,2018-01-02,PL
11:00 - 12:00,22600.0,21658.0,2018-01-02,PL
