MTU,Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),Poland (PL),date,country
MTU,Biomass,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Marine,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,,
MTU,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Consumption,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,,
MTU,[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],[MW],,
MTU,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,
00:00 - 01:00,234.0,5034.0,70.0,1575.0,8010.0,188.0,n/e,n/e,n/e,0.0,,140.0,0.0,n/e,n/e,n/e,n/e,0.0,n/e,n/e,1986.0,2022-06-01,PL
01:00 - 02:00,237.0,5020.0,73.0,1254.0,8082.0,189.0,n/e,n/e,n/e,0.0,,141.0,0.0,n/e,n/e,n/e,n/e,0.0,n/e,n/e,1898.0,2022-06-01,PL
02:00 - 03:00,235.0,5085.0,79.0,1223.0,8423.0,190.0,n/e,n/e,n/e,0.0,,141.0,0.0,n/e,n/e,n/e,n/e,0.0,n/e,n/e,1685.0,2022-06-01,PL
03:00 - 04:00,237.0,4940.0,80.0,1246.0,8604.0,189.0,n/e,n/e,n/e,0.0,,141.0,5.0,n/e,n/e,n/e,n/e,0.0,n/e,n/e,1674.0,2022-06-01,PL
04:00 - 05:00,245.0,4946.0,78.0,1209.0,8616.0,190.0,n/e,n/e,n/e,0.0,,141.0,5.0,n/e,n/e,n/e,n/e,44.0,n/e,n/e,1637.0,2022-06-01,PL
05:00 - 06:00,248.0,4986.0,79.0,1348.0,8628.0,187.0,n/e,n/e,n/e,0.0,,139.0,0.0,n/e,n/e,n/e,n/e,149.0,n/e,n/e,1485.0,2022-06-01,PL
06:00 - 07:00,248.0,5408.0,79.0,1304.0,8524.0,190.0,n/e,n/e,n/e,0.0,,133.0,0.0,n/e,n/e,n/e,n/e,429.0,n/e,n/e,1562.0,2022-06-01,PL
07:00 - 08:00,248.0,5559.0,80.0,1674.0,8841.0,192.0,n/e,n/e,n/e,320.0,,132.0,0.0,n/e,n/e,n/e,n/e,997.0,n/e,n/e,1180.0,2022-06-01,PL
08:00 - 09:00,247.0,5640.0,80.0,1562.0,8770.0,192.0,n/e,n/e,n/e,509.0,,134.0,0.0,n/e,n/e,n/e,n/e,1633.0,n/e,n/e,939.0,2022-06-01,PL
09:00 - 10:00,248.0,5630.0,78.0,1272.0,8524.0,191.0,n/e,n/e,n/e,202.0,,144.0,0.0,n/e,n/e,n/e,n/e,2285.0,n/e,n/e,1030.0,2022-06-01,PL
10:00 - 11:00,248.0,5544.0,74.0,1095.0,8255.0,191.0,n/e,n/e,n/e,0.0,,144.0,0.0,n/e,n/e,n/e,n/e,3256.0,n/e,n/e,1120.0,2022-06-01,PL
11:00 - 12:00,248.0,5516.0,72.0,1093.0,8033.0,198.0,n/e,n/e,n/e,0.0,,145.0,0.0,n/e,n/e,n/e,n/e,4018.0,n/e,n/e,1193.0,2022-06-01,PL
12:00 - 13:00,249.0,5479.0,68.0,1087.0,7789.0,195.0,n/e,n/e,n/e,0.0,,142.0,0.0,n/e,n/e,n/e,n/e,4268.0,n/e,n/e,1445.0,2022-06-01,PL
13:00 - 14:00,246.0,5325.0,62.0,1123.0,7629.0,192.0,n/e,n/e,n/e,107.0,,138.0,0.0,n/e,n/e,n/e,n/e,4312.0,n/e,n/e,1676.0,2022-06-01,PL
14:00 - 15:00,248.0,5241.0,62.0,1040.0,7445.0,192.0,n/e,n/e,n/e,0.0,,133.0,0.0,n/e,n/e,n/e,n/e,4270.0,n/e,n/e,1918.0,2022-06-01,PL
