Time,Day-ahead Total Load Forecast,Actual Total Load,Date,Country
00:00 - 01:00,13433.0,14207.0,2017-01-01,SE
01:00 - 02:00,13223.0,13942.0,2017-01-01,SE
02:00 - 03:00,12979.0,13703.0,2017-01-01,SE
03:00 - 04:00,12828.0,13630.0,2017-01-01,SE
04:00 - 05:00,12808.0,13525.0,2017-01-01,SE
05:00 - 06:00,13021.0,13584.0,2017-01-01,SE
06:00 - 07:00,13419.0,13747.0,2017-01-01,SE
07:00 - 08:00,13785.0,14014.0,2017-01-01,SE
08:00 - 09:00,14064.0,14271.0,2017-01-01,SE
09:00 - 10:00,14313.0,14647.0,2017-01-01,SE
10:00 - 11:00,14753.0,15311.0,2017-01-01,SE
11:00 - 12:00,15158.0,15882.0,2017-01-01,SE
12:00 - 13:00,15402.0,16207.0,2017-01-01,SE
13:00 - 14:00,15568.0,16455.0,2017-01-01,SE
14:00 - 15:00,15924.0,16781.0,2017-01-01,SE
15:00 - 16:00,16611.0,17273.0,2017-01-01,SE
16:00 - 17:00,17183.0,17931.0,2017-01-01,SE
17:00 - 18:00,17408.0,18027.0,2017-01-01,SE
18:00 - 19:00,17318.0,17846.0,2017-01-01,SE
19:00 - 20:00,17047.0,17572.0,2017-01-01,SE
20:00 - 21:00,16675.0,17159.0,2017-01-01,SE
21:00 - 22:00,16167.0,16645.0,2017-01-01,SE
22:00 - 23:00,15629.0,16125.0,2017-01-01,SE
23:00 - 00:00,15151.0,15744.0,2017-01-01,SE
00:00 - 01:00,15031.0,15654.0,2017-01-02,SE
01:00 - 02:00,14872.0,15615.0,2017-01-02,SE
02:00 - 03:00,14879.0,15664.0,2017-01-02,SE
03:00 - 04:00,14980.0,15762.0,2017-01-02,SE
04:00 - 05:00,15831.0,15923.0,2017-01-02,SE
05:00 - 06:00,16467.0,16691.0,2017-01-02,SE
06:00 - 07:00,17701.0,18522.0,2017-01-02,SE
07:00 - 08:00,19006.0,20616.0,2017-01-02,SE
08:00 - 09:00,19708.0,21251.0,2017-01-02,SE
09:00 - 10:00,19958.0,21503.0,2017-01-02,SE
10:00 - 11:00,20237.0,21785.0,2017-01-02,SE
11:00 - 12:00,20293.0,21692.0,2017-01-02,SE
12:00 - 13:00,20210.0,21706.0,2017-01-02,SE
13:00 - 14:00,20298.0,21656.0,2017-01-02,SE
14:00 - 15:00,20475.0,21763.0,2017-01-02,SE
15:00 - 16:00,21009.0,22322.0,2017-01-02,SE
16:00 - 17:00,21446.0,22703.0,2017-01-02,SE
17:00 - 18:00,21563.0,22621.0,2017-01-02,SE
18:00 - 19:00,21296.0,22254.0,2017-01-02,SE
19:00 - 20:00,20919.0,22023.0,2017-01-02,SE
20:00 - 21:00,20385.0,21442.0,2017-01-02,SE
21:00 - 22:00,19770.0,20784.0,2017-01-02,SE
22:00 - 23:00,19055.0,19914.0,2017-01-02,SE
23:00 - 00:00,18377.0,18971.0,2017-01-02,SE
00:00 - 01:00,16977.0,18447.0,2017-01-03,SE
01:00 - 02:00,16766.0,17968.0,2017-01-03,SE
02:00 - 03:00,16720.0,17872.0,2017-01-03,SE
03:00 - 04:00,16772.0,17817.0,2017-01-03,SE
04:00 - 05:00,17280.0,17856.0,2017-01-03,SE
05:00 - 06:00,17923.0,18545.0,2017-01-03,SE
06:00 - 07:00,19240.0,20145.0,2017-01-03,SE
07:00 - 08:00,20600.0,22007.0,2017-01-03,SE
08:00 - 09:00,21368.0,22699.0,2017-01-03,SE
09:00 - 10:00,21627.0,22556.0,2017-01-03,SE
10:00 - 11:00,21883.0,22801.0,2017-01-03,SE
11:00 - 12:00,21930.0,22754.0,2017-01-03,SE
12:00 - 13:00,21799.0,22598.0,2017-01-03,SE
13:00 - 14:00,21659.0,22377.0,2017-01-03,SE
14:00 - 15:00,21777.0,22561.0,2017-01-03,SE
15:00 - 16:00,22183.0,22813.0,2017-01-03,SE
16:00 - 17:00,22418.0,22676.0,2017-01-03,SE
17:00 - 18:00,22356.0,22651.0,2017-01-03,SE
18:00 - 19:00,21892.0,21928.0,2017-01-03,SE
19:00 - 20:00,21333.0,21330.0,2017-01-03,SE
20:00 - 21:00,20583.0,20746.0,2017-01-03,SE
21:00 - 22:00,19738.0,19733.0,2017-01-03,SE
22:00 - 23:00,18875.0,18800.0,2017-01-03,SE
23:00 - 00:00,18061.0,17987.0,2017-01-03,SE
00:00 - 01:00,17151.0,17657.0,2017-01-04,SE
01:00 - 02:00,16858.0,17142.0,2017-01-04,SE
02:00 - 03:00,16770.0,16914.0,2017-01-04,SE
03:00 - 04:00,16794.0,17036.0,2017-01-04,SE
04:00 - 05:00,16954.0,17430.0,2017-01-04,SE
