iter	RMSE
0	9.782334411
1	9.695447393
2	9.609883019
3	9.525585185
4	9.441887349
5	9.358667663
6	9.276772314
7	9.195838416
8	9.11539131
9	9.035720089
10	8.956886259
11	8.879116579
12	8.802172997
13	8.726153845
14	8.651056859
15	8.575936385
16	8.501908085
17	8.429127975
18	8.357182827
19	8.285449094
20	8.214551796
21	8.144667142
22	8.075346744
23	8.006510493
24	7.93884476
25	7.871209743
26	7.804477667
27	7.738127507
28	7.672724447
29	7.608008099
30	7.543988237
31	7.47999558
32	7.417472373
33	7.355649849
34	7.294821368
35	7.233663973
36	7.173554029
37	7.113600393
38	7.055016867
39	6.996582389
40	6.938915585
41	6.882020459
42	6.825957042
43	6.770171894
44	6.715090191
45	6.660231388
46	6.606182526
47	6.552152212
48	6.499153761
49	6.446297288
50	6.394780965
51	6.342820565
52	6.291657838
53	6.240942607
54	6.191197897
55	6.141460662
56	6.092752494
57	6.044278787
58	5.996922636
59	5.950017441
60	5.903016787
61	5.8570684
62	5.811103613
63	5.765794317
64	5.720473871
65	5.675964743
66	5.632178083
67	5.588657686
68	5.545799131
69	5.502860512
70	5.460780954
71	5.418967676
72	5.37762763
73	5.336917142
74	5.29632368
75	5.255870173
76	5.216346963
77	5.177177872
78	5.138370031
79	5.100272639
80	5.062485096
81	5.02507289
82	4.98775398
83	4.951362102
84	4.915232767
85	4.879285509
86	4.843922337
87	4.808538664
88	4.773533904
89	4.739386263
90	4.705291348
91	4.671905272
92	4.638734273
93	4.606414496
94	4.574214813
95	4.542752111
96	4.510846084
97	4.479223391
98	4.448363832
99	4.41782732
100	4.38715002
101	4.357193537
102	4.327533405
103	4.298501988
104	4.269407839
105	4.240832562
106	4.212369215
107	4.184308455
108	4.156286428
109	4.128280831
110	4.100928932
111	4.074136404
112	4.047210924
113	4.020826741
114	3.994722994
115	3.969084743
116	3.943652888
117	3.918077631
118	3.893185507
119	3.868391083
120	3.843820651
121	3.820110944
122	3.795951789
123	3.771738466
124	3.748393475
125	3.725511323
126	3.702856811
127	3.68061101
128	3.658316259
129	3.635606469
130	3.613619841
131	3.591650004
132	3.570263355
133	3.54951576
134	3.528748758
135	3.507865468
136	3.487182912
137	3.467328401
138	3.447145068
139	3.427497302
140	3.408025333
141	3.388921939
142	3.370183369
143	3.351155708
144	3.332785867
145	3.314262824
146	3.296050886
147	3.278159326
148	3.260436257
149	3.24311916
150	3.225590415
151	3.208800069
152	3.191533097
153	3.174658037
154	3.158108061
155	3.141692491
156	3.125599636
157	3.109530644
158	3.093497121
159	3.077623534
160	3.06236835
161	3.047174163
162	3.031904978
163	3.016898396
164	3.001454185
165	2.986773416
166	2.972386832
167	2.957626755
168	2.943562974
169	2.929137747
170	2.914954744
171	2.901555944
172	2.887495927
173	2.873767912
174	2.859920876
175	2.846433364
176	2.83311878
177	2.820330038
178	2.806763643
179	2.794042737
180	2.781098413
181	2.76848745
182	2.756049039
183	2.744146265
184	2.73191111
185	2.719575997
186	2.707357637
187	2.69568665
188	2.684083961
189	2.672310588
190	2.660977322
191	2.649446778
192	2.638313514
193	2.627178526
194	2.616734208
195	2.605877735
196	2.594748799
197	2.583980492
198	2.574008524
199	2.563889224
200	2.553862235
201	2.54401609
202	2.533629931
203	2.523681538
204	2.514139371
205	2.504488485
206	2.494604909
207	2.484960683
208	2.475557097
209	2.466261613
210	2.457152148
211	2.447742853
212	2.439056414
213	2.430264252
214	2.421808016
215	2.413059804
216	2.404430416
217	2.395791397
218	2.387347624
219	2.379140727
220	2.370791383
221	2.362703513
222	2.35480485
223	2.346835807
224	2.339121427
225	2.331564891
226	2.323750349
227	2.316213552
228	2.308716351
229	2.30120206
230	2.293775072
231	2.286502581
232	2.279438238
233	2.272299816
234	2.265280395
235	2.258348432
236	2.251491504
237	2.244406342
238	2.237690761
239	2.230981673
240	2.224362181
241	2.217805882
242	2.211456372
243	2.205169191
244	2.198706746
245	2.19245174
246	2.186189059
247	2.180039925
248	2.174076219
249	2.167996826
250	2.162263658
251	2.156440875
252	2.150611447
253	2.144857621
254	2.139001269
255	2.133512535
256	2.127746425
257	2.1225167
258	2.117409254
259	2.112204243
260	2.106700021
261	2.101410477
262	2.096306442
263	2.09104534
264	2.085952006
265	2.081083862
266	2.076212675
267	2.071251761
268	2.066151449
269	2.060982502
270	2.056049805
271	2.051368495
272	2.046516108
273	2.04188626
274	2.037249668
275	2.032705893
276	2.028277406
277	2.023670731
278	2.019399966
279	2.014871386
280	2.010618172
281	2.00616766
282	2.001915797
283	1.997666629
284	1.993495521
285	1.989525075
286	1.985304599
287	1.981393046
288	1.977391959
289	1.973650779
290	1.969669384
291	1.965811907
292	1.962030046
293	1.958241832
294	1.954376853
295	1.950534382
296	1.9466805
297	1.943158927
298	1.939641392
299	1.935962684
300	1.932063996
301	1.928563944
302	1.924953835
303	1.921647492
304	1.918044752
305	1.914418502
306	1.910760944
307	1.907463776
308	1.904057632
309	1.900699071
310	1.897575906
311	1.894236587
312	1.891179811
313	1.887726005
314	1.884697531
315	1.881449763
316	1.878405619
317	1.875463763
318	1.872656562
319	1.869766674
320	1.866698091
321	1.863695193
322	1.860852161
323	1.858063304
324	1.855169286
325	1.852009022
326	1.849284696
327	1.846179649
328	1.84331142
329	1.840472176
330	1.83765624
331	1.835058487
332	1.832484283
333	1.829913445
334	1.827308149
335	1.82441481
336	1.821486345
337	1.818749675
338	1.816219679
339	1.813653712
340	1.810833434
341	1.808422034
342	1.806014494
343	1.803282637
344	1.80087443
345	1.798618432
346	1.796223115
347	1.793614768
348	1.791360299
349	1.788882611
350	1.786489527
351	1.783892069
352	1.781574015
353	1.779359335
354	1.776882099
355	1.774519491
356	1.772088098
357	1.769915904
358	1.767654033
359	1.765415984
360	1.763360248
361	1.76111646
362	1.759076094
363	1.75706388
364	1.754877121
365	1.752521256
366	1.750504698
367	1.748209901
368	1.746180047
369	1.743914653
370	1.741872167
371	1.739858749
372	1.737725062
373	1.735426099
374	1.733439997
375	1.73137397
376	1.729384579
377	1.727548472
378	1.725764936
379	1.723974155
380	1.721929067
381	1.720170159
382	1.718019173
383	1.716026379
384	1.713858242
385	1.712134762
386	1.71033537
387	1.708403807
388	1.706633941
389	1.704723305
390	1.70267478
391	1.700760354
392	1.699111919
393	1.697485942
394	1.695823051
395	1.693848262
396	1.692017392
397	1.690379377
398	1.688596868
399	1.686810415
400	1.684933293
401	1.683040212
402	1.681388062
403	1.679922208
404	1.678173197
405	1.676521656
406	1.674970838
407	1.673018775
408	1.671345429
409	1.669655983
410	1.668048178
411	1.666392636
412	1.664696672
413	1.66306056
414	1.661552838
415	1.660065956
416	1.658624368
417	1.657244972
418	1.655418087
419	1.653936197
420	1.652220084
421	1.650713064
422	1.649322836
423	1.64748581
424	1.645927168
425	1.644614264
426	1.643286412
427	1.641505625
428	1.639765602
429	1.638317593
430	1.637024444
431	1.635411808
432	1.633789602
433	1.632419106
434	1.630741019
435	1.62943523
436	1.628168726
437	1.626891622
438	1.625239831
439	1.623664345
440	1.62223395
441	1.620640682
442	1.619425711
443	1.617821774
444	1.616607987
445	1.615229906
446	1.614085234
447	1.612677979
448	1.611407857
449	1.609896869
450	1.608449368
451	1.607107238
452	1.60596296
453	1.604878045
454	1.603210697
455	1.601818455
456	1.600691723
457	1.599103307
458	1.597490389
459	1.596026736
460	1.594917706
461	1.5934788
462	1.592254954
463	1.591204692
464	1.590045301
465	1.588794198
466	1.587701617
467	1.586666179
468	1.585598515
469	1.584524725
470	1.583343665
471	1.581941707
472	1.580764685
473	1.579721635
474	1.578146723
475	1.576768487
476	1.575672372
477	1.574664105
478	1.573566604
479	1.571824345
480	1.570279774
481	1.569133876
482	1.567966953
483	1.566975592
484	1.565776934
485	1.564300432
486	1.563132124
487	1.562052427
488	1.560923632
489	1.55990066
490	1.558879086
491	1.557828396
492	1.55618594
493	1.555061028
494	1.553780878
495	1.552654304
496	1.551668041
497	1.550338249
498	1.549479421
499	1.548554786
500	1.547457137
501	1.545892235
502	1.544640168
503	1.543600856
504	1.542284713
505	1.541199916
506	1.540274904
507	1.539246112
508	1.538237049
509	1.537175641
510	1.536143804
511	1.535057093
512	1.533998502
513	1.533048335
514	1.531770292
515	1.53029083
516	1.529279917
517	1.528189787
518	1.527159275
519	1.526174024
520	1.525333574
521	1.524259272
522	1.523239466
523	1.522466621
524	1.521633097
525	1.520775771
526	1.519798389
527	1.518947464
528	1.518096145
529	1.517308245
530	1.516389534
531	1.515413173
532	1.514435198
533	1.513268259
534	1.512184482
535	1.511213947
536	1.510337556
537	1.509266397
538	1.508410849
539	1.507457318
540	1.506619774
541	1.505533768
542	1.504740362
543	1.503820495
544	1.502812013
545	1.501904767
546	1.501088853
547	1.500038564
548	1.499103888
549	1.498163491
550	1.497145975
551	1.496257777
552	1.495349377
553	1.494129232
554	1.493308154
555	1.49223359
556	1.491256563
557	1.490258737
558	1.489213231
559	1.48820144
560	1.487353221
561	1.486251382
562	1.485345638
563	1.484571211
564	1.48377764
565	1.482740373
566	1.481726173
567	1.480765351
568	1.479761793
569	1.478979574
570	1.478175275
571	1.477253572
572	1.476299256
573	1.475532028
574	1.474765832
575	1.474030565
576	1.473157081
577	1.472343446
578	1.471556103
579	1.470789777
580	1.470056322
581	1.469191543
582	1.46834477
583	1.467456227
584	1.466798375
585	1.46607122
586	1.464970237
587	1.46415943
588	1.463183339
589	1.462207191
590	1.461437407
591	1.460734948
592	1.45989917
593	1.459074995
594	1.458200384
595	1.457344754
596	1.456554929
597	1.455826495
598	1.455221222
599	1.454443558
600	1.453608176
601	1.452878949
602	1.45206139
603	1.451314108
604	1.450549838
605	1.449808798
606	1.448763748
607	1.447942236
608	1.447215472
609	1.446405782
610	1.445546606
611	1.444869757
612	1.444106203
613	1.443329173
614	1.44241924
615	1.441789827
616	1.441040707
617	1.440317829
618	1.439506071
619	1.438588068
620	1.437649144
621	1.436931428
622	1.436122899
623	1.435259556
624	1.434602039
625	1.433915479
626	1.433236818
627	1.432197443
628	1.43141178
629	1.430572104
630	1.429850054
631	1.429043252
632	1.428267935
633	1.427712277
634	1.427029578
635	1.426158163
636	1.425482732
637	1.424753268
638	1.424047533
639	1.42319806
640	1.422514461
641	1.421714235
642	1.421050276
643	1.420292883
644	1.4196116
645	1.41886057
646	1.418028169
647	1.417288036
648	1.416580071
649	1.415942986
650	1.415098824
651	1.414358475
652	1.413664498
653	1.412929108
654	1.412138614
655	1.41147125
656	1.410821035
657	1.410016066
658	1.409406048
659	1.40864191
660	1.408043066
661	1.407304694
662	1.406702767
663	1.406033705
664	1.405363971
665	1.404748664
666	1.404039018
667	1.403461384
668	1.402662679
669	1.401894466
670	1.401088666
671	1.400484155
672	1.399988849
673	1.399248134
674	1.398506983
675	1.397554233
676	1.397079169
677	1.396450033
678	1.395691875
679	1.39507991
680	1.39435693
681	1.393445217
682	1.392708554
683	1.391911259
684	1.391218845
685	1.390525237
686	1.389901262
687	1.389237869
688	1.388622478
689	1.387745462
690	1.387201268
691	1.386399195
692	1.38553206
693	1.384875404
694	1.384318604
695	1.383787012
696	1.38316767
697	1.382437204
698	1.381885844
699	1.381309147
700	1.380686985
701	1.379968024
702	1.379134966
703	1.378511193
704	1.377913308
705	1.377255633
706	1.376415026
707	1.375837028
708	1.37530807
709	1.374823468
710	1.374308617
711	1.373700725
712	1.373064041
713	1.372386314
714	1.37158793
715	1.371122203
716	1.370371864
717	1.369769838
718	1.369188264
719	1.368608665
720	1.367901461
721	1.367332256
722	1.366760952
723	1.366287492
724	1.365516452
725	1.364887364
726	1.364267359
727	1.363469593
728	1.36289544
729	1.362198757
730	1.361584957
731	1.360989989
732	1.360480807
733	1.359966277
734	1.359370692
735	1.358629122
736	1.358015902
737	1.357429018
738	1.35675693
739	1.35610744
740	1.355434239
741	1.354730511
742	1.354025684
743	1.353329158
744	1.352615525
745	1.352041905
746	1.351534265
747	1.351072881
748	1.350510693
749	1.349912959
750	1.34931381
751	1.348887696
752	1.348391665
753	1.34765566
754	1.347164474
755	1.346632135
756	1.345995743
757	1.345373997
758	1.344896285
759	1.344303027
760	1.343669874
761	1.343123164
762	1.342573921
763	1.341973854
764	1.341449819
765	1.340883365
766	1.34014884
767	1.339536289
768	1.33898868
769	1.338444927
770	1.337906799
771	1.337341118
772	1.336729138
773	1.336207227
774	1.335712993
775	1.335219227
776	1.334527908
777	1.333733248
778	1.333086276
779	1.332610959
780	1.332143393
781	1.33160351
782	1.331009923
783	1.330427128
784	1.329789142
785	1.329196332
786	1.328601809
787	1.328131149
788	1.32773269
789	1.327240818
790	1.326762892
791	1.326291908
792	1.325701888
793	1.325098491
794	1.324457516
795	1.323966491
796	1.323469749
797	1.322858577
798	1.322368507
799	1.321829281
800	1.32127654
801	1.320657116
802	1.320135527
803	1.319520741
804	1.319043218
805	1.318444541
806	1.317785116
807	1.317322795
808	1.316760951
809	1.316110021
810	1.315672634
811	1.315200179
812	1.314628835
813	1.314157705
814	1.313681115
815	1.313152454
816	1.312701126
817	1.312079356
818	1.311413418
819	1.310802922
820	1.310295553
821	1.309711786
822	1.309256427
823	1.308875458
824	1.308206133
825	1.307641986
826	1.307095498
827	1.306523555
828	1.306017565
829	1.305541189
830	1.30501841
831	1.304550613
832	1.30397803
833	1.3035809
834	1.303069719
835	1.302525267
836	1.30209981
837	1.301593149
838	1.301165145
839	1.300675252
840	1.300217492
841	1.299732065
842	1.299183253
843	1.298601851
844	1.298167123
845	1.297714313
846	1.297249145
847	1.296809608
848	1.296175571
849	1.295716221
850	1.29524425
851	1.294791425
852	1.294367645
853	1.29389216
854	1.293302716
855	1.292782526
856	1.292391946
857	1.291761553
858	1.291387919
859	1.290755978
860	1.290283684
861	1.289853996
862	1.289300401
863	1.288790491
864	1.288395761
865	1.287887662
866	1.287449075
867	1.286934235
868	1.286485191
869	1.28597957
870	1.285521406
871	1.284966331
872	1.284372598
873	1.283864695
874	1.283351222
875	1.282907359
876	1.282366399
877	1.28196364
878	1.28155378
879	1.281089333
880	1.280714136
881	1.280307657
882	1.279878548
883	1.279425718
884	1.278986559
885	1.278502537
886	1.27792756
887	1.277381527
888	1.276859177
889	1.276428519
890	1.276000538
891	1.275472366
892	1.274987157
893	1.274581969
894	1.274127549
895	1.273707029
896	1.273163866
897	1.272745467
898	1.272260193
899	1.2717598
900	1.271292898
901	1.270909681
902	1.270492005
903	1.270005235
904	1.269578804
905	1.269099949
906	1.268705942
907	1.268245306
908	1.267788957
909	1.267404926
910	1.26683863
911	1.26643554
912	1.265851894
913	1.26531105
914	1.264855311
915	1.264464203
916	1.264059766
917	1.263582799
918	1.263181519
919	1.262822971
920	1.262314265
921	1.261883759
922	1.261392929
923	1.260965554
924	1.260408774
925	1.259962445
926	1.259551487
927	1.259224191
928	1.258698547
929	1.258141998
930	1.257667819
931	1.257150904
932	1.256664252
933	1.256246286
934	1.255906169
935	1.255374636
936	1.255041157
937	1.254536964
938	1.254127593
939	1.253613179
940	1.253226834
941	1.252834574
942	1.252534165
943	1.252140796
944	1.251663352
945	1.251285433
946	1.250808209
947	1.25038069
948	1.250002284
949	1.249679689
950	1.249194846
951	1.248753902
952	1.248303754
953	1.247876174
954	1.247515466
955	1.247118074
956	1.246686851
957	1.246251794
958	1.245860177
959	1.245387402
960	1.245069694
961	1.244696754
962	1.244332132
963	1.243918854
964	1.243524356
965	1.243171223
966	1.242787125
967	1.242445772
968	1.241961303
969	1.241615124
970	1.241269298
971	1.240842845
972	1.240392028
973	1.240023937
974	1.239623644
975	1.239255876
976	1.238889803
977	1.238501271
978	1.238174125
979	1.237757387
980	1.237339807
981	1.236982851
982	1.236453524
983	1.236000301
984	1.23558072
985	1.23505225
986	1.234703379
987	1.234331933
988	1.233898958
989	1.23357658
990	1.232962329
991	1.232599321
992	1.232057784
993	1.231637011
994	1.231300329
995	1.230862708
996	1.230449093
997	1.230064756
998	1.229561931
999	1.229141011
1000	1.228762277
1001	1.228438955
1002	1.228016942
1003	1.227538914
1004	1.227150834
1005	1.226748616
1006	1.226334575
1007	1.226010106
1008	1.225616377
1009	1.225143846
1010	1.224599518
1011	1.224097642
1012	1.223653032
1013	1.223264632
1014	1.22275429
1015	1.222409577
1016	1.221999805
1017	1.221638367
1018	1.22124399
1019	1.220759242
1020	1.220409592
1021	1.219988668
1022	1.219547903
1023	1.219172603
1024	1.218763831
1025	1.21826108
1026	1.217774941
1027	1.217436873
1028	1.217162404
1029	1.216762496
1030	1.216412972
1031	1.216056458
1032	1.215721741
1033	1.215327487
1034	1.21499257
1035	1.214677233
1036	1.21429409
1037	1.213854581
1038	1.213473531
1039	1.213076244
1040	1.212715575
1041	1.212213592
1042	1.211869363
1043	1.211466273
1044	1.210975869
1045	1.210569866
1046	1.210158804
1047	1.209834307
1048	1.209464614
1049	1.2090906
1050	1.208803453
1051	1.208468782
1052	1.208043646
1053	1.207700593
1054	1.207357751
1055	1.207032449
1056	1.206718067
1057	1.206379216
1058	1.20600903
1059	1.205684755
1060	1.205269812
1061	1.204891713
1062	1.20456657
1063	1.204237009
1064	1.203780835
1065	1.203408613
1066	1.203052372
1067	1.202675227
1068	1.202409778
1069	1.20201219
1070	1.201630897
1071	1.201300015
1072	1.20101054
1073	1.200705489
1074	1.200385571
1075	1.200019123
1076	1.19965427
1077	1.19917715
1078	1.198854547
1079	1.198542577
1080	1.198235602
1081	1.197852329
1082	1.197534863
1083	1.197067476
1084	1.196721173
